keyword,match_type,criterion_id,final_urls,ad_group_name,ad_group_id,campaign_name,campaign_id,impressions,clicks
b2b commerce platform,EXACT,298863686055,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,1234,67
best order management systems,EXACT,309108614780,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,1216,40
kibo commerce,EXACT,398068540797,https://kibocommerce.com/,Kibo,143748213014,Search - Brand,19534321347,1092,227
wholesale trade portal,EXACT,2446631003413,https://kibocommerce.com/ppc/wholesale/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,690,35
wholesale b2b portal,EXACT,942633355197,https://kibocommerce.com/ppc/wholesale/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,615,66
vendor managed inventory platform,EXACT,383521292601,https://kibocommerce.com/platform/inventory-visibility/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,522,11
wholesale ecommerce platform,EXACT,361754558157,https://kibocommerce.com/ppc/wholesale/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,471,28
kibo oms,EXACT,944287156743,https://kibocommerce.com/platform/order-management/,OMS,146491133473,Search - Brand,19534321347,416,88
b2b trade portal,EXACT,1558473315,https://kibocommerce.com/,NB - General B2B,184871850902,Search - NonBrand,22740783748,405,16
best b2b ecommerce platforms,EXACT,313614260320,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,374,12
enterprise order management system,EXACT,296265470120,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,357,3
b2b ecommerce platforms,EXACT,314490958718,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,320,12
b2b commerce software,EXACT,297982384973,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,316,7
digital commerce solutions,EXACT,327368516074,https://kibocommerce.com/,NB - General B2B,184871850902,Search - NonBrand,22740783748,247,4
unified commerce platform,EXACT,298836115610,https://kibocommerce.com/,NB - General B2B,184871850902,Search - NonBrand,22740783748,210,4
ecommerce oms,EXACT,326088839260,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,204,2
wholesale inventory management system,EXACT,337843569813,https://kibocommerce.com/platform/inventory-visibility/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,168,6
kibo ai commerce,EXACT,2446196480638,https://kibocommerce.com/platform/agentic-commerce/,Kibo,143748213014,Search - Brand,19534321347,167,8
distribution portal software,EXACT,2513177621437,https://kibocommerce.com/ppc/distributor/,NB - Distributors,186344145054,Search - NonBrand,22740783748,163,7
kibo software,EXACT,944287156783,https://kibocommerce.com/,Kibo,143748213014,Search - Brand,19534321347,143,29
wholesale distribution platform,EXACT,347267881823,https://kibocommerce.com/ppc/wholesale/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,142,4
kibo ecommerce,EXACT,398068540957,https://kibocommerce.com/,Kibo,143748213014,Search - Brand,19534321347,139,28
order management system ecommerce,EXACT,309108618460,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,132,2
multi location inventory management,EXACT,357018782546,https://kibocommerce.com/platform/inventory-visibility/,NB - General B2B,184871850902,Search - NonBrand,22740783748,130,5
b2b order portal,EXACT,385161927487,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,124,5
distribution order management system,EXACT,551292908578,https://kibocommerce.com/platform/order-management/,NB - Distributors,186344145054,Search - NonBrand,22740783748,122,2
wholesale commerce software,EXACT,2277707876577,https://kibocommerce.com/ppc/wholesale/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,117,5
b2b order management system,EXACT,332176888486,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,107,9
b2b digital portal,EXACT,1839486177112,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,98,1
b2b ecommerce services,EXACT,463074009800,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,92,3
manufacturing order management system,EXACT,378331732484,https://kibocommerce.com/platform/order-management/,NB - Manufacturers,184871850702,Search - NonBrand,22740783748,89,3
wholesale order management system,EXACT,385738105884,https://kibocommerce.com/platform/order-management/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,81,4
distribution ecommerce platform,EXACT,334163550361,https://kibocommerce.com/ppc/distributor/,NB - Distributors,186344145054,Search - NonBrand,22740783748,81,7
enterprise omnichannel commerce,EXACT,345735807088,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,80,1
manufacturer ecommerce platform,EXACT,568619230228,https://kibocommerce.com/ppc/manufacturing/,NB - Manufacturers,184871850702,Search - NonBrand,22740783748,77,7
kibo ecommerce platform,EXACT,402946790801,https://kibocommerce.com/,Kibo,143748213014,Search - Brand,19534321347,76,9
b2b ecommerce solution,EXACT,295811616670,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,50,2
kibo platform,EXACT,314422249431,https://kibocommerce.com/,Kibo,143748213014,Search - Brand,19534321347,48,7
global order management system,EXACT,313341119648,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,48,0
order management system for b2b,EXACT,1651892258843,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,42,2
distributor inventory management,EXACT,361696120529,https://kibocommerce.com/platform/inventory-visibility/,NB - Distributors,186344145054,Search - NonBrand,22740783748,35,0
kibo order management,EXACT,632299078024,https://kibocommerce.com/platform/order-management/,OMS,146491133473,Search - Brand,19534321347,29,8
distributor commerce platform,EXACT,926328296381,https://kibocommerce.com/ppc/distributor/,NB - Distributors,186344145054,Search - NonBrand,22740783748,29,1
kibo agentic commerce,EXACT,2425344757165,https://kibocommerce.com/platform/agentic-commerce/,Kibo,143748213014,Search - Brand,19534321347,25,3
oms for ecommerce businesses,EXACT,2416995562519,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,20,0
b2b vendor portal,EXACT,883532967027,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,19,0
kibo order management system,EXACT,1060313264879,https://kibocommerce.com/platform/order-management/,OMS,146491133473,Search - Brand,19534321347,16,4
manufacturing quote automation,EXACT,2446631002773,https://kibocommerce.com/ppc/manufacturing/,NB - Manufacturers,184871850702,Search - NonBrand,22740783748,15,3
b2b dealer portal,EXACT,299341196134,https://kibocommerce.com/,NB - General B2B,184871850902,Search - NonBrand,22740783748,14,0
distributor b2b portal,EXACT,2451751434652,https://kibocommerce.com/ppc/distributor/,NB - Distributors,186344145054,Search - NonBrand,22740783748,11,2
dropship supplier integration,EXACT,2446631003493,https://kibocommerce.com/platform/connect-hub/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,10,2
manufacturer b2b portal,EXACT,2446631001813,https://kibocommerce.com/ppc/manufacturing/,NB - Manufacturers,184871850702,Search - NonBrand,22740783748,9,1
order management system demo,EXACT,916391898374,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,7,0
multi warehouse order management,EXACT,2428927080602,https://kibocommerce.com/platform/order-management/,OMS,181971021779,Search - NonBrand,22740783748,6,2
order management system pricing,EXACT,643717491743,https://kibocommerce.com/speak-with-an-expert/,OMS,181971021779,Search - NonBrand,22740783748,5,0
manufacturing commerce platform,EXACT,307380409372,https://kibocommerce.com/ppc/manufacturing/,NB - Manufacturers,184871850702,Search - NonBrand,22740783748,5,0
wholesale dealer portal,EXACT,2446631003213,https://kibocommerce.com/ppc/wholesale/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,4,0
distributor catalog management,EXACT,2513177622197,https://kibocommerce.com/platform/catalog-price-promo/,NB - Distributors,186344145054,Search - NonBrand,22740783748,4,0
wholesale volume based pricing,EXACT,2446631004213,https://kibocommerce.com/request-a-demo/,NB - Wholesalers,184871850862,Search - NonBrand,22740783748,2,0
b2b buyer portal,EXACT,1722629831881,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,2,0
enterprise b2b ecommerce platform,EXACT,2405611383551,https://kibocommerce.com/solutions/b2b/,NB - General B2B,184871850902,Search - NonBrand,22740783748,1,0
